
=== Debug Info for Test: com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testIssue794b ===
Exception: junit.framework.AssertionFailedError:

com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
com.google.javascript.jscomp.MaybeReachingVariableUse:createInitialEstimateLattice:143->[Method Call] Call Stack: com.google.javascript.jscomp.MaybeReachingVariableUse.createInitialEstimateLattice:143 -> com.google.javascript.jscomp.MaybeReachingVariableUse$ReachingUses.<init>
