
=== Debug Info for Test: com.fasterxml.jackson.databind.interop.IllegalTypesCheckTest::testIssue1599 ===

com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:100->[Local Variables] "{type\u003d[simple type, class com.sun.org.apache.xalan.internal.xsltc.DOM], beanDesc\u003dcom.fasterxml.jackson.databind.introspect.BasicBeanDescription@251ebf23}"
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:101->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:101 -> com.fasterxml.jackson.databind.DeserializationContext.getConfig
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:103->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:103 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory._findCustomBeanDeserializer
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:111->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:111 -> com.fasterxml.jackson.databind.JavaType.isThrowable
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:119->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:119 -> com.fasterxml.jackson.databind.JavaType.isAbstract
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:119->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:119 -> com.fasterxml.jackson.databind.JavaType.isPrimitive
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:121->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:121 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.materializeAbstractType
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:133->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:133 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.findStdDeserializer
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:139->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:139 -> com.fasterxml.jackson.databind.JavaType.getRawClass
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:139->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:139 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.isPotentialBeanType
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:144->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:144 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.buildBeanDeserializer
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:144->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:144 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.buildBeanDeserializer
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:100->[Local Variables] "{type\u003d[simple type, class javax.xml.transform.URIResolver], beanDesc\u003dcom.fasterxml.jackson.databind.introspect.BasicBeanDescription@2575f671}"
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:101->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:101 -> com.fasterxml.jackson.databind.DeserializationContext.getConfig
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:103->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:103 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory._findCustomBeanDeserializer
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:111->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:111 -> com.fasterxml.jackson.databind.JavaType.isThrowable
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:119->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:119 -> com.fasterxml.jackson.databind.JavaType.isAbstract
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:119->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:119 -> com.fasterxml.jackson.databind.JavaType.isPrimitive
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:121->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:121 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.materializeAbstractType
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:133->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:133 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.findStdDeserializer
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:139->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:139 -> com.fasterxml.jackson.databind.JavaType.getRawClass
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:139->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:139 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.isPotentialBeanType
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory:createBeanDeserializer:144->[Method Call] Call Stack: com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer:144 -> com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.buildBeanDeserializer
