
=== Debug Info for Test: org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest::testIssue631 ===

org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:233->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:233 -> org.apache.commons.math.util.FastMath.abs
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:233->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:233 -> org.apache.commons.math.util.FastMath.abs
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:233->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:233 -> org.apache.commons.math.util.FastMath.max
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:162->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:162 -> org.apache.commons.math.analysis.solvers.BaseSecantSolver.computeObjectiveValue
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:233->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:233 -> org.apache.commons.math.util.FastMath.abs
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:233->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:233 -> org.apache.commons.math.util.FastMath.abs
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:233->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:233 -> org.apache.commons.math.util.FastMath.max
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:162->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:162 -> org.apache.commons.math.analysis.solvers.BaseSecantSolver.computeObjectiveValue
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:179->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:179 -> org.apache.commons.math.analysis.solvers.BaseSecantSolver$Method.ordinal
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:202->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:202 -> org.apache.commons.math.util.FastMath.abs
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:233->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:233 -> org.apache.commons.math.util.FastMath.abs
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:233->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:233 -> org.apache.commons.math.util.FastMath.abs
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:233->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:233 -> org.apache.commons.math.util.FastMath.max
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:162->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:162 -> org.apache.commons.math.analysis.solvers.BaseSecantSolver.computeObjectiveValue
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:179->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:179 -> org.apache.commons.math.analysis.solvers.BaseSecantSolver$Method.ordinal
org.apache.commons.math.analysis.solvers.BaseSecantSolver:doSolve:202->[Method Call] Call Stack: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve:202 -> org.apache.commons.math.util.FastMath.abs
